ticker,name,market,sector,source
014280.KS,금강공업,KOSPI,,naver_kospi
014440.KS,영보화학,KOSPI,,naver_kospi
014470.KQ,부방,KOSDAQ,,naver_kosdaq
014530.KS,극동유화,KOSPI,,naver_kospi
014570.KQ,고려제약,KOSDAQ,,naver_kosdaq
014580.KS,태경비케이,KOSPI,,naver_kospi
014620.KQ,성광벤드,KOSDAQ,,naver_kosdaq
014680.KS,한솔케미칼,KOSPI,,naver_kospi
014710.KS,사조씨푸드,KOSPI,,naver_kospi
014790.KS,HL D&I,KOSPI,,naver_kospi
014820.KS,동원시스템즈,KOSPI,,naver_kospi
014830.KS,유니드,KOSPI,,naver_kospi
014910.KS,성문전자,KOSPI,,naver_kospi
014940.KQ,오리엔탈정공,KOSDAQ,,naver_kosdaq
014950.KQ,삼익제약,KOSDAQ,,naver_kosdaq
014970.KQ,삼륭물산,KOSDAQ,,naver_kosdaq
014990.KS,인디에프,KOSPI,,naver_kospi
015020.KS,이스타코,KOSPI,,naver_kospi
015230.KS,대창단조,KOSPI,,naver_kospi
015260.KS,에이엔피,KOSPI,,naver_kospi
015360.KS,INVENI,KOSPI,,naver_kospi
015590.KS,DKME,KOSPI,,naver_kospi
015710.KQ,코콤,KOSDAQ,,naver_kosdaq
015750.KQ,성우하이텍,KOSDAQ,,naver_kosdaq
015760.KS,한국전력,KOSPI,,naver_kospi
015860.KS,일진홀딩스,KOSPI,,naver_kospi
015890.KS,태경산업,KOSPI,,naver_kospi
016090.KS,대현,KOSPI,,naver_kospi
016100.KQ,리더스코스메틱,KOSDAQ,,naver_kosdaq
016250.KQ,SGC E&C,KOSDAQ,,naver_kosdaq
016360.KS,삼성증권,KOSPI,,naver_kospi
016380.KS,KG스틸,KOSPI,,naver_kospi
016450.KS,한세예스24홀딩스,KOSPI,,naver_kospi
016580.KS,환인제약,KOSPI,,naver_kospi
016590.KS,신대양제지,KOSPI,,naver_kospi
016600.KQ,큐캐피탈,KOSDAQ,,naver_kosdaq
016610.KS,DB증권,KOSPI,,naver_kospi
016670.KQ,디모아,KOSDAQ,,naver_kosdaq
016710.KS,대성홀딩스,KOSPI,,naver_kospi
016740.KS,두올,KOSPI,,naver_kospi
016790.KQ,현대사료,KOSDAQ,,naver_kosdaq
016800.KS,퍼시스,KOSPI,,naver_kospi
016880.KS,웅진,KOSPI,,naver_kospi
016920.KQ,카스,KOSDAQ,,naver_kosdaq
017000.KQ,신원종합개발,KOSDAQ,,naver_kosdaq
017040.KS,광명전기,KOSPI,,naver_kospi
017180.KS,명문제약,KOSPI,,naver_kospi
017250.KQ,인터엠,KOSDAQ,,naver_kosdaq
017370.KS,우신시스템,KOSPI,,naver_kospi
017390.KS,서울가스,KOSPI,,naver_kospi
017480.KQ,삼현철강,KOSDAQ,,naver_kosdaq
017510.KQ,세명전기,KOSDAQ,,naver_kosdaq
017550.KS,수산세보틱스,KOSPI,,naver_kospi
