run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,10.0,2026-07-27,33520.0,-4.8268,1.3345,-6.1897,0.0,0.0,1.0,stop_first,completed,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,9.0,2026-07-24,33255.0,-5.5792,1.3345,-6.1897,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,8.0,2026-07-23,33685.0,-4.3583,1.3345,-5.9483,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,7.0,2026-07-22,33845.0,-3.904,1.3345,-5.9483,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,6.0,2026-07-21,33550.0,-4.7416,1.3345,-5.9483,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,5.0,2026-07-20,33475.0,-4.9546,1.3345,-5.1675,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,4.0,2026-07-16,34370.0,-2.4134,1.3345,-2.8819,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,3.0,2026-07-15,34930.0,-0.8234,1.3345,-2.8819,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,2.0,2026-07-14,34705.0,-1.4622,1.3345,-2.8819,0.0,0.0,1.0,stop_first,tracking,35185.0,-0.0994
2026-07-12,kr,kospi_kosdaq,426020.KS,TIME 미국S&P500액티브,35220.0,36268.93,36968.21,34380.86,good,,,1.0,2026-07-13,35155.0,-0.1846,1.3345,-0.3407,0.0,0.0,0.0,none,tracking,35185.0,-0.0994
